"id transaksi","barang"
"00001","Sepatu Futsal, Kaos Kaki"
"00002","Sepatu Bola, Bola Sepak, Stelan"
"00003","Net, Singlet"
"00004","Kaos Kaki, Skin"
"00005","Kaos, Celana"
"00006","Stelan, Kaos Kaki"
"00007","Skin, Kaos Kaki"
"00008","Jaket, Tas"
"00009","Kaos, Celana"
"00010","Sepatu Futsal, Kaos Kaki"
"00011","Sepatu Bola, Kaos Kaki"
"00012","Sepatu Futsal, Stelan, Skin, Kaos Kaki"
"00013","Jogger, Celana"
"00014","Knee, Kinesio"
"00015","Celana, Kaos Kaki"
"00016","Kaos, Stelan, Kaos Kaki"
"00017","Kaos Kaki, Celana"
"00018","Kaos Kaki, Skin"
"00019","Sepatu Bola, Kaos Kaki"
"00020","Sepatu Bola, Jogger"
"00021","Celana, Kaos Kaki"
"00022","Celana, Kaos"
"00023","Kaos, Kaos Kaki, Celana"
"00024","Knee, Kinesio"
"00025","Skin, Kaos Kaki"
"00026","Sepatu Futsal, Kaos Kaki"
"00027","Bola Voli, Kaos Kaki"
"00028","Jaket, Kaos, Jogger"
"00029","Sepatu Futsal, Tas"
"00030","Jogger, Kaos"
"00031","Celana, Kaos Kaki"
"00032","Jogger, Celana"
"00033","Singlet, Bola Sepak, Jogger"
"00034","Sepatu Bola, Tas"
"00035","Sepatu Futsal, Kaos Kaki"
"00036","Baju Renang, Kacamata Renang"
"00037","Sepatu Futsal, Kaos Kaki"
"00038","Jogger, Kaos Kaki"
"00039","Kaos Kaki, Knee"
"00040","Kacamata Renang, Celana"
"00041","Sepatu Bola, Kaos Kaki, Celana"
"00042","Sepatu Futsal, Tas"
"00043","Sepatu Futsal, Skin"
"00044","Kaos Kaki, Raket"
"00045","Sepatu Bola, Kaos Kaki"
"00046","Celana, Kaos"
"00047","Kaos, Jogger"
"00048","Kaos, Tas, Kaos Kaki"
"00049","Kaos Kaki, Skin"
"00050","Knee, Celana"
"00051","Sepatu Bola, Celana"
"00052","Bola Voli, Kaos Kaki, Knee, Celana"
"00053","Tas, Skin"
"00054","Celana, Kaos Kaki"
"00055","Knee, Tas"
"00056","Jogger, Kaos Kaki"
"00057","Kaos, Celana, Stelan"
"00058","Kaos, Celana, Stelan"
"00059","Sepatu Bola, Kaos Kaki, Skin, Tas"
"00060","Jogger, Kaos Kaki, Celana"
"00061","Tas, Baju Renang, Kacamata Renang"
"00062","Sepatu Futsal, Kaos Kaki"
"00063","Kaos Kaki, Tas, Jaket"
"00064","Jogger, Jaket"
"00065","Kaos Kaki, Stelan, Tas"
"00066","Sepatu Bola, Kaos Kaki"
"00067","Celana, Kaos, Celana"
"00068","Sepatu Bola, Skin, Kaos Kaki"
"00069","Skin, Tas"
"00070","Tas, Sepatu Futsal"
"00071","Kaos, Celana"
"00072","Bola Sepak, Stelan, Jaket, Kaos Kaki"
"00073","Sepatu Futsal, Kaos Kaki"
"00074","Kok, Raket, Kaos Kaki"
"00075","Tas, Skin, Stelan"
"00076","Skin, Kaos Kaki"
"00077","Celana, Kok"
"00078","Kaos, Jogger"
"00079","Jogger, Celana"
"00080","Sepatu Bola, Skin, Kaos Kaki"
"00081","Jogger, Kaos"
"00082","Jogger, Celana"
"00083","Kaos, Stelan"
"00084","Kaos Kaki, Stelan"
"00085","Sepatu Bola, Kaos Kaki"
"00086","Kaos, Stelan, Jaket, Sepatu Bola, Kaos Kaki"
"00087","Jogger, Kaos Kaki"
"00088","Sepatu Bola, Kaos Kaki"
"00089","Kaos, Jogger"
