id transaksi;barang;;;
1;Sepatu Lari, Kaos Kaki;;;
2;Sepatu Roda, Bola Sepak, Setelan Kiper;;;
3;Net Voli, Singlet;;;
4;Kaos Kaki, Skin;;;
5;Kaos, Celana;;;
6;Stelan, Kaos Kaki;;;
7;Skin, Kaos Kaki;;;
8;Jaket, Tas;;;
9;Manset, Strit;;;
10;Sepatu Futsal, Kaos Kaki;;;
11;Sepatu Badminton, Kaos Kaki;;;
12;Sepatu Futsal, Stelan, Skin, Kaos Kaki;;;
13;Jogger, Celana;;;
14;Ankle, Elbow;;;
15;Celana, Kaos Kaki;;;
16;Kaos, Stelan, Kaos Kaki;;;
17;Kaos Kaki, Celana;;;
18;Kaos Kaki, Skin;;;
19;Sepatu Bola, Kaos Kaki;;;
20;Sepatu Badminton, Jogger;;;
21;Celana, Kaos Kaki;;;
22;Celana, Strit;;;
23;Kaos, Manset, Strit;;;
24;Knee, Elbow;;;
25;Skin, Kaos Kaki;;;
26;Sepatu Lari, Kaos Kaki;;;
27;Bola Voli, Pompa;;;
28;Jaket, Kaos, Training;;;
29;Sepatu Lari, Tas;;;
30;Training, Manset;;;
31;Strit, Kaos Kaki;;;
32;Training, Celana;;;
33;Meteran, Stopwatch, Cone;;;
34;Sepatu Badminton, Tas;;;
35;Sepatu Futsal, Kaos Kaki;;;
36;Baju Renang, Peluit;;;
37;Sepatu Lari, Kaos Kaki;;;
38;Jogger, Kaos Kaki;;;
39;Kaos Kaki, Ankle;;;
40;Kacamata, Strit;;;
41;Sepatu Bola, Kaos Kaki, Celana;;;
42;Sepatu Futsal, Tas;;;
43;Sepatu Futsal, Skin;;;
44;Kaos Kaki, Grip Raket;;;
45;Sepatu Badminton, Kaos Kaki;;;
46;Strit, Manset;;;
47;Kaos, Training;;;
48;Manset, Tas, Kaos Kaki;;;
49;Kaos Kaki, Skin;;;
50;Knee, Celana;;;
51;Sepatu Badminton, Celana;;;
52;Bola Basket,  Kaos Kaki, Knee, Celana;;;
53;Tas, Skin;;;
54;Celana, Kaos Kaki;;;
55;Knee, Dekker Jari;;;
56;Jogger, Kaos Kaki;;;
57;Kaos, Celana, Stelan;;;
58;Kaos, Celana, Stelan;;;
59;Sepatu Bola, Kaos Kaki, Skin, Tas;;;
60;Training, Kaos Kaki, Celana;;;
61;Tas, Baju Renang, Kacamata;;;
62;Sepatu Futsal, Kaos Kaki;;;
63;Kaos Kaki, Tas, Skipping;;;
64;Jogger, Skipping;;;
65;Kaos Kaki, Stelan, Tas;;;
66;Sepatu Bola, Kaos Kaki;;;
67;Celana, Manset, Strit;;;
68;Sepatu Bola, Skin, Kaos Kaki;;;
69;Skin, Tas;;;
70;Tas, Sepatu Futsal;;;
71;Kaos, Celana;;;
72;Bola, Stelan, Jaket, Kaos Kaki;;;
73;Sepatu Futsal, Kaos Kaki;;;
74;Kok, Raket, Grip;;;
75;Tas, Skin, Stelan;;;
76;Skin, Kaos Kaki;;;
77;Celana, Kok;;;
78;Kos, Jogger;;;
79;Jogger, Celana;;;
80;Sepatu, Skin, Kaos Kaki;;;
81;Jogger, Kaos;;;
82;Jogger, Celana;;;
83;Kaos, Stelan;;;
84;Kaos Kaki, Stelan;;;
85;Sepatu Bola, Kaos Kaki;;;
86;Manset, Stelan, Jaket, Sepatu Badminton, Kaos Kaki;;;
87;Training, Kaos Kaki;;;
88;Sepatu Bola, Kaos Kaki;;;
89;Kaos, Training;;;
90;Sepatu Bola, Stelan, Celana;;;
91;Skin, Rompi;;;
92;Pemukul Kasti, Manset;;;
93;Sepatu Bola, Skin, Kaos Kaki;;;
94;Sepatu Bola, Kaos Kaki;;;
95;Sepatu Futsal, Kaos Kaki, Stelan;;;
96;Raket, Kok;;;
97;Rompi, Kaos Kaki;;;
98;Manset, Kaos Kaki;;;
99;Sepatu Voli, Kaos Kaki;;;
100;Jogger, Celana;;;
101;Bola Tenis, Kok, Pemukul Kasti;;;
102;Skin, Kaos Kaki;;;
103;Sepatu Bola, Kaos Kaki;;;
104;Celana, Kaos Kaki;;;
105;Bola Takraw, Bola Pingpong;;;
106;Sepatu Bola, Kaos Kaki;;;
107;Sepatu Badminton, Kaos Kaki;;;
108;Celana, Stelan;;;
109;Setelan Kiper, Tali Sepatu;;;
110;Bola Voli, Net Voli;;;
111;Sepatu Bola, Kaos Kaki, Skin;;;
